,0
308,#handdrip
309,#brewingcoffee
310,#brewing
311,#coldbrew
312,#coffeetime
313,#coffeeshop
314,#coffee
315,#specialtycoffee
316,#
317,#
318,#
319,#
320,#
321,#
322,#
323,#
324,#
325,#
326,#
327,#
328,#
329,#
330,#
331,#
332,#
333,#
334,#
335,#
336,#
337,#
338,#
339,#
340,#
341,#
342,#earlgreytea
343,#
344,#
345,#
346,#
347,#
348,#
349,#
350,#
351,#
352,#
353,#
354,#
355,#
356,#
357,#
358,#
359,#
360,#
361,#
362,#
363,#
364,#
365,#
366,#
367,#coffee
368,#coffeeshop
369,#cafe
370,#cafestagram
371,#
372,#
373,#
374,#
375,#f4f
376,#selca
377,#selfie
378,#ulzzang
379,#
380,#
381,#
382,#ootd
383,#
384,#
385,#
386,#
387,#
388,#
389,#
390,#
391,#
392,#
393,#
394,#
395,#
396,#
397,#
398,#
399,#
400,#
401,#
402,#
403,#
404,#
405,#
406,#
407,#
408,#coffee
409,#coffeeshop
410,#cafe
411,#cafestagram
412,#
413,#
414,#
415,#
416,#
417,#
418,#
419,#
420,#
421,#
422,#
423,#
424,#
425,#
426,#
427,#
428,#bavarianmint
429,#pepermint
430,#
431,#
432,#
433,#
434,#
435,#
436,#
437,#
438,#
439,#
440,#
441,#
442,#
443,#
444,#
445,#
446,#
447,#
448,#
449,#
450,#
451,#
452,#
453,#coffee
454,#coffeeshop
455,#cafe
456,#cafestagram
457,#
458,#
459,#
460,#
461,#abutpi
462,#
463,#
464,#
465,#
466,#
467,#
468,#
469,#
470,#
471,#
472,#
473,#
474,#
475,#
476,#
477,#
478,#cafejamei
479,#jameicafe
480,#jamei
481,#handdrip
482,#brewingcoffee
483,#brewing
484,#coldbrew
485,#coffeetime
486,#coffeeshop
487,#coffee
488,#specialtycoffee
489,#
490,#
491,#
492,#
493,#
494,#
495,#
496,#
497,#
498,#
499,#
500,#
501,#
502,#
503,#
504,#
505,#
506,#
507,#
508,#
509,#
510,#
511,#
512,#
513,#
514,#
515,#
516,#
517,#
518,#coffee
519,#coffeeshop
520,#cafe
521,#cafestagram
522,#
523,#
524,#
525,#
526,#
527,#
528,#
529,#
530,#
531,#
532,#
533,#
534,#
535,#
536,#
537,#
538,#
539,#
540,#
541,#
542,#
543,#
544,#
545,#
546,#
547,#
548,#coffee
549,#coffeeshop
550,#cafe
551,#cafestagram
552,#
553,#
554,#
555,#
556,#
557,#
558,#
559,#
560,#
561,#
562,#
563,#
564,#
565,#
566,#
567,#
568,#
569,#
570,#
571,#
572,#
573,#
574,#
575,#
576,#
577,#coffee
578,#coffeeshop
579,#cafe
580,#cafestagram
581,#
582,#
583,#
584,#
585,#
586,#
587,#
588,#
589,#
590,#
591,#
592,#
593,#
594,#
595,#
596,#
597,#
598,#
599,#
600,#
601,#
602,#
603,#
604,#
605,#
606,#
607,#
608,#
609,#
610,#
611,#
612,#
613,#
614,#
615,#
616,#
617,#
618,#
619,#
620,#
621,#
622,#
623,#
624,#
625,#
626,#
627,#
628,#
629,#
630,#
631,#
632,#
633,#
634,#
635,#
636,#coffee
637,#coffeeshop
638,#cafe
639,#cafestagram
640,#
641,#
642,#
643,#
644,#
645,#
646,#
647,#
648,#
649,#
650,#
651,#
652,#
653,#
654,#
655,#
656,#
657,#
658,#
659,#
660,#
661,#
662,#
663,#
664,#
665,#coffee
666,#coffeeshop
667,#cafe
668,#cafestagram
669,#
670,#
671,#
672,#
673,#
674,#
675,#
676,#
677,#
678,#
679,#
680,#
681,#
682,#
683,#
684,#
685,#
686,#
687,#
688,#
689,#
690,#
691,#
692,#
693,#
694,#coffee
695,#coffeeshop
696,#cafe
697,#cafestagram
698,#
699,#
700,#
701,#
702,#
703,#
704,#
705,#
706,#
707,#
708,#
709,#
710,#
711,#
712,#
713,#
714,#
715,#
716,#
717,#
718,#
719,#
720,#
721,#
722,#
723,#
724,#
725,#coffee
726,#coffeeshop
727,#cafe
728,#cafestagram
729,#
730,#
731,#Daily
732,#
733,#Cafe
734,#
735,#
736,#
737,#
738,#
739,#
740,#
741,#
742,#
743,#Barista
744,#Baristalife
745,#
746,#LatteArt
747,#CoffeeArt
748,#Coffeeporn
749,#
750,#Rosetta
751,#
752,#WingTulip
753,#
754,#
755,#
756,#
757,#
758,#
759,#
760,#
761,#
762,#
763,#
764,#
765,#
766,#
767,#
768,#
769,#
770,#
771,#
772,#
773,#
774,#
775,#
776,#
777,#
778,#
779,#
780,#
781,#
782,#coffee
783,#coffeeshop
784,#cafe
785,#cafestagram
786,#
787,#
788,#
789,#
790,#
791,#
792,#
793,#
794,#
795,#
796,#
797,#
798,#
799,#
800,#
801,#
802,#
803,#
804,#
805,#
806,#
807,#
808,#
809,#
810,#
811,#
812,#coffee
813,#coffeeshop
814,#cafe
815,#cafestagram
816,#
817,#abutpi
818,#
819,#
820,#
821,#
822,#
823,#
824,#
825,#
826,#
827,#
828,#
829,#
830,#
831,#
832,#
833,#
834,#
835,#
836,#
837,#
838,#
839,#
840,#
841,#
842,#
843,#
844,#
845,#
846,#
847,#
848,#
849,#
850,#
851,#
852,#
853,#
854,#
855,#
856,#
857,#
858,#
859,#
860,#
861,#
862,#
863,#
864,#
865,#cafejamei
866,#jameicafe
867,#jamei
868,#
869,#
870,#
871,#
872,#
873,#
874,#
875,#
876,#
877,#
878,#
879,#
880,#
881,#
882,#
883,#
884,#cafejamei
885,#jameicafe
886,#jamei
887,#handdrip
888,#brewingcoffee
889,#brewing
890,#coldbrew
891,#coffeetime
892,#coffeeshop
893,#coffee
894,#specialtycoffee
895,#
896,#
897,#
898,#
899,#
900,#
901,#
902,#
903,#
904,#
905,#
906,#
907,#
908,#
909,#
910,#
911,#
912,#cafejamei
913,#jameicafe
914,#jamei
915,#handdrip
916,#brewingcoffee
917,#brewing
918,#coldbrew
919,#coffeetime
920,#coffeeshop
921,#coffee
922,#specialtycoffee
923,#
924,#
925,#
926,#
927,#
928,#
929,#
930,#
931,#
932,#
933,#
934,#
935,#
936,#
937,#
938,#
939,#
940,#cafejamei
941,#jameicafe
942,#jamei
943,#handdrip
944,#brewingcoffee
945,#brewing
946,#coldbrew
947,#coffeetime
948,#coffeeshop
949,#coffee
950,#specialtycoffee
951,#
952,#
953,#
954,#
955,#
956,#
957,#
958,#
959,#
960,#
961,#
962,#
963,#
964,#
965,#
966,#
967,#
968,#cafejamei
969,#jameicafe
970,#jamei
971,#handdrip
972,#brewingcoffee
973,#brewing
974,#coldbrew
975,#coffeetime
976,#coffeeshop
977,#coffee
978,#specialtycoffee
979,#
980,#
981,#
982,#
983,#
984,#
985,#
986,#
987,#
988,#
989,#
990,#
991,#
992,#
993,#
994,#
995,#
996,#
997,#cafejamei
998,#jameicafe
999,#jamei
1000,#handdrip
1001,#brewingcoffee
1002,#brewing
1003,#coldbrew
1004,#coffeetime
1005,#coffeeshop
1006,#coffee
1007,#specialtycoffee
1008,#
1009,#wichita
1010,#
1011,#
1012,#
1013,#
1014,#
1015,#
1016,#
1017,#
1018,#
1019,#
1020,#
1021,#
1022,#
1023,#
1024,#
1025,#
1026,#
1027,#
1028,#
1029,#
1030,#
1031,#
1032,#
1033,#
1034,#
1035,#
1036,#
1037,#
1038,#
1039,#
1040,#wafpang
1041,#
